"Name"	"Gender"	"Freq.x"	"Freq.y"
"1"	"Aaban"	"M"	15	9
"2"	"Aabha"	"F"	7	7
"3"	"Aabid"	"M"	NA	5
"4"	"Aabir"	"M"	NA	5
"5"	"Aabriella"	"F"	5	11
"6"	"Aada"	"F"	5	NA
"7"	"Aadam"	"M"	22	18
"8"	"Aadan"	"M"	10	NA
"9"	"Aadarsh"	"M"	15	11
"10"	"Aaden"	"M"	297	194
"11"	"Aadhav"	"M"	31	28
"12"	"Aadhavan"	"M"	5	6
"13"	"Aadhi"	"M"	11	5
"14"	"Aadhira"	"F"	8	14
"15"	"Aadhvik"	"M"	9	19
"16"	"Aadhvika"	"F"	NA	9
"17"	"Aadhya"	"F"	265	284
"18"	"Aadhyan"	"M"	7	NA
"19"	"Aadi"	"M"	43	55
"20"	"Aadil"	"M"	14	15
"21"	"Aadin"	"M"	5	NA
"22"	"Aadish"	"M"	NA	5
"23"	"Aadit"	"M"	23	23
"24"	"Aadith"	"M"	11	11
"25"	"Aadithya"	"M"	6	5
"26"	"Aaditri"	"F"	NA	11
"27"	"Aaditya"	"M"	33	34
"28"	"Aadiv"	"M"	6	NA
"29"	"Aadon"	"M"	8	9
"30"	"Aadrian"	"M"	7	NA
"31"	"Aadrika"	"F"	9	NA
"32"	"Aadrit"	"M"	NA	5
"33"	"Aadriti"	"F"	NA	5
"34"	"Aadvi"	"F"	NA	7
"35"	"Aadvik"	"M"	28	83
"36"	"Aadvika"	"F"	7	13
"37"	"Aadya"	"F"	159	159
"38"	"Aadyn"	"M"	29	51
"39"	"Aafia"	"F"	6	NA
"40"	"Aafiya"	"F"	NA	6
"41"	"Aafiyah"	"F"	NA	5
"42"	"Aagam"	"M"	5	7
"43"	"Aagna"	"F"	NA	7
"44"	"Aahaan"	"M"	10	5
"45"	"Aahan"	"M"	26	36
"46"	"Aahana"	"F"	31	51
"47"	"Aahil"	"M"	78	81
"48"	"Aahir"	"M"	6	NA
"49"	"Aahna"	"F"	12	NA
"50"	"Aaiden"	"M"	89	71
"51"	"Aaidyn"	"M"	11	5
"52"	"Aaila"	"F"	7	11
"53"	"Aailiyah"	"F"	5	NA
"54"	"Aailyah"	"F"	6	6
"55"	"Aaima"	"F"	12	21
"56"	"Aaira"	"F"	24	31
"57"	"Aairah"	"F"	19	28
"58"	"Aaisha"	"F"	11	7
"59"	"Aakanksha"	"F"	NA	5
"60"	"Aakash"	"M"	17	21
"61"	"Aakriti"	"F"	8	5
"62"	"Aala"	"F"	6	9
"63"	"Aalaiyah"	"F"	11	10
"64"	"Aalani"	"F"	17	16
"65"	"Aalaya"	"F"	9	7
"66"	"Aalayah"	"F"	70	66
"67"	"Aalayiah"	"F"	8	5
"68"	"Aalayna"	"F"	5	NA
"69"	"Aalaysia"	"F"	9	9
"70"	"Aaleah"	"F"	11	16
"71"	"Aaleahya"	"F"	5	NA
"72"	"Aaleayah"	"F"	NA	5
"73"	"Aaleena"	"F"	5	NA
"74"	"Aaleeyah"	"F"	11	9
"75"	"Aaleiah"	"F"	6	NA
"76"	"Aaleigha"	"F"	9	7
"77"	"Aaleiyah"	"F"	NA	5
"78"	"Aalena"	"F"	5	NA
"79"	"Aaleyah"	"F"	153	104
"80"	"Aali"	"M"	6	NA
"81"	"Aalia"	"F"	33	46
"82"	"Aaliah"	"F"	46	32
"83"	"Aaliana"	"F"	6	5
"84"	"Aalijah"	"F"	12	8
"85"	"Aalijah"	"M"	17	11
"86"	"Aalina"	"F"	9	6
"87"	"Aalinah"	"F"	6	NA
"88"	"Aalisa"	"F"	5	NA
"89"	"Aalisha"	"F"	5	NA
"90"	"Aalivia"	"F"	7	NA
"91"	"Aaliya"	"F"	64	57
"92"	"Aaliyah"	"F"	4850	4611
"93"	"Aaliyah"	"M"	5	NA
"94"	"Aaliyahmarie"	"F"	6	NA
"95"	"Aaliyahrose"	"F"	5	5
"96"	"Aaliyan"	"F"	NA	6
"97"	"Aaliyan"	"M"	NA	5
"98"	"Aaliyana"	"F"	6	8
"99"	"Aaliyanna"	"F"	5	NA
"100"	"Aaliyha"	"F"	6	NA
"101"	"Aaliyiah"	"F"	5	5
"102"	"Aaloni"	"F"	NA	5
"103"	"Aalya"	"F"	8	NA
"104"	"Aalyah"	"F"	23	14
"105"	"Aalyiah"	"F"	23	23
"106"	"Aalyna"	"F"	5	NA
"107"	"Aalyssa"	"F"	NA	5
"108"	"Aamanee"	"F"	5	5
"109"	"Aamani"	"F"	7	23
"110"	"Aamari"	"F"	9	5
"111"	"Aamari"	"M"	7	14
"112"	"Aamer"	"M"	NA	5
"113"	"Aamia"	"F"	5	NA
"114"	"Aamil"	"M"	5	NA
"115"	"Aamilah"	"F"	12	15
"116"	"Aamina"	"F"	24	24
