"Name"	"Gender"	"Freq.x"	"Freq.y"
"3"	"Aabid"	"M"	NA	5
"4"	"Aabir"	"M"	NA	5
"6"	"Aada"	"F"	5	NA
"8"	"Aadan"	"M"	10	NA
"16"	"Aadhvika"	"F"	NA	9
"18"	"Aadhyan"	"M"	7	NA
"21"	"Aadin"	"M"	5	NA
"22"	"Aadish"	"M"	NA	5
"26"	"Aaditri"	"F"	NA	11
"28"	"Aadiv"	"M"	6	NA
"30"	"Aadrian"	"M"	7	NA
"31"	"Aadrika"	"F"	9	NA
"32"	"Aadrit"	"M"	NA	5
"33"	"Aadriti"	"F"	NA	5
"34"	"Aadvi"	"F"	NA	7
"39"	"Aafia"	"F"	6	NA
"40"	"Aafiya"	"F"	NA	6
"41"	"Aafiyah"	"F"	NA	5
"43"	"Aagna"	"F"	NA	7
"48"	"Aahir"	"M"	6	NA
"49"	"Aahna"	"F"	12	NA
"53"	"Aailiyah"	"F"	5	NA
"59"	"Aakanksha"	"F"	NA	5
"68"	"Aalayna"	"F"	5	NA
"71"	"Aaleahya"	"F"	5	NA
"72"	"Aaleayah"	"F"	NA	5
"73"	"Aaleena"	"F"	5	NA
"75"	"Aaleiah"	"F"	6	NA
"77"	"Aaleiyah"	"F"	NA	5
"78"	"Aalena"	"F"	5	NA
"80"	"Aali"	"M"	6	NA
"87"	"Aalinah"	"F"	6	NA
"88"	"Aalisa"	"F"	5	NA
"89"	"Aalisha"	"F"	5	NA
"90"	"Aalivia"	"F"	7	NA
"93"	"Aaliyah"	"M"	5	NA
"94"	"Aaliyahmarie"	"F"	6	NA
"96"	"Aaliyan"	"F"	NA	6
"97"	"Aaliyan"	"M"	NA	5
"99"	"Aaliyanna"	"F"	5	NA
"100"	"Aaliyha"	"F"	6	NA
"102"	"Aaloni"	"F"	NA	5
"103"	"Aalya"	"F"	8	NA
"106"	"Aalyna"	"F"	5	NA
"107"	"Aalyssa"	"F"	NA	5
"112"	"Aamer"	"M"	NA	5
"113"	"Aamia"	"F"	5	NA
"114"	"Aamil"	"M"	5	NA
"124"	"Aamora"	"F"	NA	5
"126"	"Aamyah"	"F"	NA	6
"127"	"Aanav"	"M"	NA	9
"128"	"Aanay"	"M"	NA	9
"134"	"Aansh"	"M"	9	NA
"140"	"Aarabella"	"F"	6	NA
"141"	"Aarabhi"	"F"	5	NA
"143"	"Aaradhy"	"M"	5	NA
"145"	"Aaraf"	"M"	NA	10
"151"	"Aaravreddy"	"M"	NA	6
"152"	"Aaraya"	"F"	5	NA
"154"	"Aari"	"F"	9	NA
"155"	"Aari"	"M"	NA	5
"164"	"Aarick"	"M"	6	NA
